Institute,Ranking,Location,Short Description,Long Description,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,,Full-time faculty (tenured or tenure-track),Ph.D. student/faculty ratio,Female,Male,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)"
University of Maryland--Baltimore County,99," Baltimore, MD","The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $679 per credit (in-state); full-time: $1,166 per credit (out-of-state); part-time: $679 per credit (in-state); and part-time: $1,166 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.9:1. The College of Engineering and Information Technology at University of Maryland--Baltimore County has 90 full-time faculty on staff.",,01/01,01/01,$ 70.00,$ 70.00,(410) 455-1337,umbcgrad@umbc.edu,https://gradschool.umbc.edu/admissions/apply/,https://gradschool.umbc.edu/,2.9:1,90,2.9:1,37.7,62.3,,,,
Illinois Institute of Technology (Armour),99," Chicago, IL","The Armour College of Engineering at Illinois Institute of Technology (Armour) has a rolling application deadline. The application fee is $100 for U.S. residents and $100 for international students. Its tuition is full-time: $29,052 per year and part-time: $1,614 per credit. The 2021 Ph.D. student-faculty ratio is 1.9:1. The Armour College of Engineering at Illinois Institute of Technology (Armour) has 110 full-time faculty on staff.",,01/14,01/31,$ 100.00,$ 100.00,(312) 567-3020,gradstu@iit.edu,http://www.iit.edu/graduate_admission/prospective_students/,http://www.iit.edu/engineering,"$1,614 per credit",110,1.9:1,28.7,71.1,"$29,052 per year","$1,614 per credit","$29,052 per year","$1,614 per credit"
University of Oklahoma (Gallogly),99," Norman, OK",The application fee is $50 for U.S. residents and $100 for international students. Its tuition is full-time: $335 per credit (in-state); full-time: $962 per credit (out-of-state); part-time: $335 per credit (in-state); and part-time: $962 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.5:1. The Gallogly College of Engineering at University of Oklahoma (Gallogly) has 160 full-time faculty on staff.,,N/A,N/A,$ 50.00,$ 100.00,(405) 325-6765,gradadm@ou.edu,http://ou.edu/gradcollege/admissions/apply,http://www.ou.edu/admissions,1.5:1,160,1.5:1,30.5,69.5,,,,
University of South Carolina,102," Columbia, SC","The College of Engineering and Computing at University of South Carolina has a rolling application deadline. The application fee is $108 for U.S. residents and $108 for international students. Its tuition is full-time: $15,709 per year (in-state); full-time: $31,735 per year (out-of-state); part-time: $572 per credit (in-state); and part-time: $1,240 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering and Computing at University of South Carolina has 125 full-time faculty on staff.",,N/A,N/A,$ 108.00,$ 108.00,(803) 777-4243,gradapp@mailbox.sc.edu,http://www.gradschool.sc.edu,http://www.cec.sc.edu,2.5:1,125,2.5:1,34.6,65.4,,,,
University of Nebraska--Lincoln,102," Lincoln, NE","The College of Engineering at University of Nebraska--Lincoln has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $8,496 per year (in-state); full-time: $23,130 per year (out-of-state); part-time: $2,832 per year (in-state); and part-time: $7,710 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering at University of Nebraska--Lincoln has 188 full-time faculty on staff.",,12/23,12/23,$ 50.00,$ 50.00,(402) 472-2875,graduate@unl.edu,https://engineering.unl.edu/graduate-programs/admissions/,http://www.engineering.unl.edu/graduate-programs,N/A,188,1.8:1,17.8,82.2,N/A,,,
University of Kentucky,102," Lexington, KY","The College of Engineering at University of Kentucky has a rolling application deadline. The application fee is $65 for U.S. residents and $75 for international students. Its tuition is full-time: $13,674 per year (in-state); full-time: $33,548 per year (out-of-state); part-time: $742 per credit (in-state); and part-time: $1,846 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.7:1. The College of Engineering at University of Kentucky has 165 full-time faculty on staff.",,04/15,04/15,$ 65.00,$ 75.00,(859) 257-4613,grad.admit@uky.edu,//gradschool.uky.edu/,//engr.uky.edu,1.7:1,165,1.7:1,27.4,72.6,,,,
University of Kansas,102," Lawrence, KS","The School of Engineering at University of Kansas has a rolling application deadline. The application fee is $65 for U.S. residents and $85 for international students. Its tuition is full-time: $8,476 per year (in-state); full-time: $18,948 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $1,053 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The School of Engineering at University of Kansas has 110 full-time faculty on staff.",,03/01,03/01,$ 65.00,$ 85.00,(785) 864-7946,kuengrgrad@ku.edu,http://www.graduate.ku.edu/apply,http://www.engr.ku.edu,2:1,110,2:1,33.3,66.7,,,,
University of Georgia,102," Athens, GA","The College of Engineering at University of Georgia has a rolling application deadline. The application fee is $75 for U.S. residents and $100 for international students. Its tuition is full-time: $13,317 per year (in-state); full-time: $37,779 per year (out-of-state); part-time: $370 per credit (in-state); and part-time: $1,050 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at University of Georgia has 60 full-time faculty on staff.",,07/01,07/01,$ 75.00,$ 100.00,(706) 542-1739,gradadm@uga.edu,http://grad.uga.edu/index.php/prospective-students,http://grad.uga.edu,2:1,60,2:1,29.8,70.2,,,,
University of Alabama--Huntsville,102," Huntsville, AL","The College of Engineering at University of Alabama--Huntsville has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $10,632 per year (in-state); full-time: $24,430 per year (out-of-state); part-time: $9,668 per credit (in-state); and part-time: $22,182 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.3:1. The College of Engineering at University of Alabama--Huntsville has 76 full-time faculty on staff.",,06/22,06/22,$ 60.00,$ 60.00,(256) 824-6339,jon.hakkila@uah.edu,https://www.uah.edu/admissions/graduate/admission-process,http://www.uah.edu,1.3:1,76,1.3:1,24.2,75.8,,,,
Brigham Young University (Fulton),102," Provo, UT","The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $7,700 per year (LDS member) and full-time: $15,400 per year (Non-LDS member). The 2021 Ph.D. student-faculty ratio is 1.4:1. The Ira A. Fulton College of Engineering at Brigham Young University (Fulton) has 129 full-time faculty on staff.",,01/15,01/15,$ 50.00,$ 50.00,(801) 422-4091,gradstudies@byu.edu,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=byugrad,http://gradstudies.byu.edu,N/A,129,1.4:1,12.1,87.9,N/A,N/A,,
Kansas State University,109," Manhattan, KS",The College of Engineering at Kansas State University has a rolling application deadline. The application fee is $65 for U.S. residents and $75 for international students. Its tuition is full-time: $429 per credit (in-state); full-time: $959 per credit (out-of-state); part-time: $429 per credit (in-state); and part-time: $959 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The College of Engineering at Kansas State University has 114 full-time faculty on staff.,,08/01,08/01,$ 65.00,$ 75.00,(785) 532-6191,grad@ksu.edu,http://www.ksu.edu/grad/application/index.html,http://www.engg.ksu.edu/,1.4:1,114,1.4:1,24.2,75.8,,,,
Embry-Riddle Aeronautical University,109," Daytona Beach, FL","The Daytona Beach College of Engineering at Embry-Riddle Aeronautical University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $18,756 per year and part-time: $9,378 per year. The 2021 Ph.D. student-faculty ratio is 1.1:1. The Daytona Beach College of Engineering at Embry-Riddle Aeronautical University has 95 full-time faculty on staff.",,07/01,N/A,$ 50.00,$ 50.00,(386) 226-6176,graduate.admissions@erau.edu,https://daytonabeach.erau.edu/admissions/apply,https://daytonabeach.erau.edu/admissions/graduate,"$1,563 per credit",95,1.1:1,23.8,76.2,"$18,756 per year","$9,378 per year","$28,134 per year","$1,563 per credit"
Mississippi State University (Bagley),109," Mississippi State, MS","The application fee is $60 for U.S. residents and $80 for international students. Its tuition is full-time: $9,110 per year (in-state); full-time: $15,680 per year (out-of-state); part-time: $506 per credit (in-state); and part-time: $871 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The Bagley College of Engineering at Mississippi State University (Bagley) has 102 full-time faculty on staff.",,06/01,06/01,$ 60.00,$ 80.00,(662) 325-7400,gradapps@grad.msstate.edu,https://apply.grad.msstate.edu/,http://www.bagley.msstate.edu/,2:1,102,2:1,21.5,78.5,,,,
Louisiana State University--Baton Rouge,109," Baton Rouge, LA","The College of Engineering at Louisiana State University--Baton Rouge has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $8,728 per year (in-state); full-time: $25,643 per year (out-of-state); part-time: $3,976 per year (in-state); and part-time: $11,215 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.1:1. The College of Engineering at Louisiana State University--Baton Rouge has 139 full-time faculty on staff.",,07/15,07/15,$ 50.00,$ 50.00,(225) 578-2311,graddeanoffice@lsu.edu,http://gradapply.lsu.edu,http://www.lsu.edu/eng,2.1:1,139,2.1:1,36.9,63.1,,,,
University of Miami,109," Coral Gables, FL","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $2,213 per credit and part-time: $2,213 per credit. The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering at University of Miami has 59 full-time faculty on staff.",,03/22,12/21,$ 85.00,$ 85.00,(305) 284-2404,Engineeringadmissions@miami.edu,https://www.applyweb.com/miamigrd/index.ftl,http://www.coe.miami.edu,"$2,213 per credit",59,2.2:1,31.7,68.3,"$2,213 per credit","$2,213 per credit","$2,213 per credit","$2,213 per credit"
Naval Postgraduate School,109," Monterey, CA",The 2021 Ph.D. student-faculty ratio is 0.5:1. The Graduate School of Engineering and Applied Sciences at Naval Postgraduate School has 104 full-time faculty on staff.,,N/A,N/A,N/A,N/A,(831) 656-1062,jessica.bawdon@nps.edu,N/A,http://www.nps.edu/Academics/Schools/GSEAS/,N/A,104,0.5:1,16.7,83.3,N/A,N/A,N/A,N/A
West Virginia University (Statler),115," Morgantown, WV","The Benjamin M. Statler College of Engineering and Mineral Resources at West Virginia University (Statler) has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $5,913 per year (in-state); full-time: $14,445 per year (out-of-state); part-time: $657 per credit (in-state); and part-time: $1,605 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.9:1. The Benjamin M. Statler College of Engineering and Mineral Resources at West Virginia University (Statler) has 112 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 60.00,(304) 293-2121,graduateadmissions@mail.wvu.edu,http://adm.wvu.edu/graduate/,http://www.statler.wvu.edu,1.9:1,112,1.9:1,28.1,71.9,,,,
Oklahoma State University,116," Stillwater, OK","The College of Engineering, Architecture and Technology at Oklahoma State University has a rolling application deadline. The application fee is $50 for U.S. residents and $75 for international students. Its tuition is full-time: $6,909 per year (in-state); full-time: $18,539 per year (out-of-state); part-time: $384 per credit (in-state); and part-time: $1,030 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The College of Engineering, Architecture and Technology at Oklahoma State University has 130 full-time faculty on staff.",,02/01,02/01,$ 50.00,$ 75.00,(405) 744-6368,grad-i@okstate.edu,//grad.okstate.edu/application-process/index.html,http://gradcollege.okstate.edu,1.4:1,130,1.4:1,22.5,77.5,,,,
Utah State University,116," Logan, UT","The College of Engineering at Utah State University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $6,534 per year (in-state) and full-time: $22,393 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering at Utah State University has 93 full-time faculty on staff.",,02/28,02/28,$ 50.00,$ 50.00,(866) 878-4723,graduateschool@usu.edu,//www.usu.edu/graduateschool/,https://www.engineering.usu.edu/,N/A,93,1.8:1,17.1,82.9,N/A,N/A,,
University of Alabama,116," Tuscaloosa, AL","The College of Engineering at University of Alabama has a rolling application deadline. The application fee is $65 for U.S. residents and $80 for international students. Its tuition is full-time: $10,780 per year (in-state); full-time: $30,250 per year (out-of-state); part-time: $615 per credit (in-state); and part-time: $1,550 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at University of Alabama has 147 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 80.00,(205) 348-5921,gradschool@ua.edu,https://graduate.ua.edu/prospective-students/apply-now/,https://graduate.ua.edu,2:1,147,2:1,19.2,80.8,,,,
University of Arkansas--Fayetteville,116," Fayetteville, AR","The College of Engineering at University of Arkansas--Fayetteville has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $12,428 per year (in-state); full-time: $33,801 per year (out-of-state); part-time: $6,214 per year (in-state); and part-time: $16,901 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering at University of Arkansas--Fayetteville has 110 full-time faculty on staff.",,08/01,08/01,$ 60.00,$ 60.00,(479) 575-4401,gradinfo@uark.edu,https://graduate-and-international.uark.edu/graduate/future-students/applying/index.php,http://engineering.uark.edu/,1.8:1,110,1.8:1,30.2,69.8,,,,
University of California--Merced,116," Merced, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state) and full-time: $15,102 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The School of Engineering at University of California--Merced has 57 full-time faculty on staff.",,N/A,N/A,$ 120.00,$ 140.00,(209) 228-4586,engineering@ucmerced.edu,https://graduatedivision.ucmerced.edu/prospective-students/apply-now,http://engineering.ucmerced.edu/,N/A,57,3.7:1,30.8,69.2,N/A,N/A,,
Tulane University,121," New Orleans, LA",The School of Science and Engineering at Tulane University has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. The 2021 Ph.D. student-faculty ratio is 2.9:1. The School of Science and Engineering at Tulane University has 39 full-time faculty on staff.,,N/A,N/A,$ 0.00,$ 0.00,(504) 314-7108,morgan@tulane.edu,https://sse.tulane.edu/academics/graduate/admissions,https://sse.tulane.edu/academics/graduate,N/A,39,2.9:1,44.4,55.6,N/A,N/A,N/A,N/A
Temple University,121," Philadelphia, PA","The College of Engineering at Temple University has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $21,312 per year (in-state); full-time: $27,828 per year (out-of-state); part-time: $1,184 per credit (in-state); and part-time: $1,546 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering at Temple University has 64 full-time faculty on staff.",,06/01,03/01,$ 60.00,$ 60.00,(215) 204-7800,gradengr@temple.edu,http://apply.temple.edu/engineering,https://engineering.temple.edu/,2.8:1,64,2.8:1,28.2,71.8,,,,
SMU (Lyle),121," Dallas, TX","The Bobby B. Lyle School of Engineering at SMU (Lyle) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,200 per credit and part-time: $1,200 per credit. The 2021 Ph.D. student-faculty ratio is 1.6:1. The Bobby B. Lyle School of Engineering at SMU (Lyle) has 57 full-time faculty on staff.",,11/15,11/15,$ 75.00,$ 75.00,(214) 768-4395,srgonzalez@smu.edu,https://engineeringcas.liaisoncas.org/apply/,http://www.smu.edu/lyle,"$1,200 per credit",57,1.6:1,26.7,73.3,"$1,200 per credit","$1,200 per credit","$1,200 per credit","$1,200 per credit"
Oregon Health and Science University,121," Portland, OR",The engineering school at Oregon Health and Science University has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. The 2021 Ph.D. student-faculty ratio is 1.8:1. The engineering school at Oregon Health and Science University has 37 full-time faculty on staff.,,N/A,12/15,$ 70.00,$ 70.00,(503) 418-9307,somgrad@ohsu.edu,https://ohsu.liaisoncas.com/applicant-ux//login,https://www.ohsu.edu/school-of-medicine/biomedical-engineering/graduate-program,N/A,37,1.8:1,N/A,N/A,N/A,N/A,N/A,
Baylor University,121," Waco, TX","The School of Engineering & Computer Science at Baylor University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $46,046 per year. The 2021 Ph.D. student-faculty ratio is 1.9:1. The School of Engineering & Computer Science at Baylor University has 45 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 50.00,(254) 710-4060,Graduate_Admissions@baylor.edu,https://www.baylor.edu/graduate/gobaylor/index.php?id=99641.,https://www.ecs.baylor.edu/,N/A,45,1.9:1,8.9,91.1,"$46,046 per year",N/A,"$46,046 per year",N/A
Virginia Commonwealth University,126," Richmond, VA","The School of Engineering at Virginia Commonwealth University has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $12,618 per year (in-state); full-time: $25,956 per year (out-of-state); part-time: $701 per credit (in-state); and part-time: $1,442 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The School of Engineering at Virginia Commonwealth University has 89 full-time faculty on staff.",,06/01,01/15,$ 70.00,$ 70.00,(804) 828-9306,gradengr@vcu.edu,https://www.vcu.edu/admissions/apply/graduate/,http://www.egr.vcu.edu/,1.8:1,89,1.8:1,47.7,50,,,,
University of Massachusetts--Lowell (Francis),126," Lowell, MA","The Francis College of Engineering at University of Massachusetts--Lowell (Francis) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $14,590 per year (in-state); full-time: $26,370 per year (out-of-state); part-time: $811 per credit (in-state); and part-time: $1,465 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.7:1. The Francis College of Engineering at University of Massachusetts--Lowell (Francis) has 121 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 75.00,(978) 934-2390,Graduate_Admissions@uml.edu,http://engineeringcas.liaisoncas.org/apply/,https://www.uml.edu/grad/,1.7:1,121,1.7:1,24.8,75.2,,,,
University of Colorado--Denver,126," Denver, CO","The College of Engineering, Design and Computing at University of Colorado--Denver has a rolling application deadline. The application fee is $50 for U.S. residents and $75 for international students. Its tuition is full-time: $11,556 per year (in-state); full-time: $25,488 per year (out-of-state); part-time: $3,852 per year (in-state); and part-time: $8,496 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The College of Engineering, Design and Computing at University of Colorado--Denver has 49 full-time faculty on staff.",,02/01,02/01,$ 50.00,$ 75.00,(303) 315-2183,graduateadmissions@ucdenver.edu,https://graduateschool.ucdenver.edu/admissions/apply,http://www.ucdenver.edu/,0.7:1,49,0.7:1,35.6,64.4,,,,
Florida International University,126," Miami, FL","The College of Engineering and Computing at Florida International University has a rolling application deadline. The application fee is $30 for U.S. residents and $30 for international students. Its tuition is full-time: $10,944 per year (in-state); full-time: $24,048 per year (out-of-state); part-time: $456 per credit (in-state); and part-time: $1,002 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.3:1. The College of Engineering and Computing at Florida International University has 111 full-time faculty on staff.",,N/A,N/A,$ 30.00,$ 30.00,(305) 348-7861,gradadm@fiu.edu,https://gradschool.fiu.edu/admissions.shtml,https://cec.fiu.edu,3.3:1,111,3.3:1,31.4,68.6,,,,
Clarkson University (Coulter),126," Potsdam, NY","The Wallace H. Coulter School of Engineering at Clarkson University (Coulter) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $35,712 per year and part-time: $1,488 per credit. The 2021 Ph.D. student-faculty ratio is 1.4:1. The Wallace H. Coulter School of Engineering at Clarkson University (Coulter) has 81 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 50.00,(518) 631-9838,graduate@clarkson.edu,https://www.clarkson.edu/graduate-admissions,https://www.clarkson.edu/academics/engineering,"$1,488 per credit",81,1.4:1,22.9,77.1,"$35,712 per year","$1,488 per credit","$35,712 per year","$1,488 per credit"
University of Wyoming,131," Laramie, WY",The College of Engineering and Applied Science at University of Wyoming has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $299 per credit (in-state); full-time: $894 per credit (out-of-state); part-time: $299 per credit (in-state); and part-time: $894 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.8:1. The College of Engineering and Applied Science at University of Wyoming has 67 full-time faculty on staff.,,N/A,N/A,$ 50.00,$ 50.00,(307) 766-5160,why-wyo@uwyo.edu,http://www.uwyo.edu/uwgrad/,http://www.uwyo.edu/ceas/,1.8:1,67,1.8:1,30.2,69.8,,,,
University of North Texas,131," Denton, TX",The College of Engineering at University of North Texas has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $487 per credit (in-state); full-time: $895 per credit (out-of-state); part-time: $487 per credit (in-state); and part-time: $895 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.5:1. The College of Engineering at University of North Texas has 90 full-time faculty on staff.,,06/15,06/15,$ 75.00,$ 75.00,(940) 565-2383,gograd@unt.edu,https://goapplytexas.org/,https://tgs.unt.edu/future-students/graduate-admissions,2.5:1,90,2.5:1,35.7,64.3,,,,
University of Nevada--Reno,131," Reno, NV","The College of Engineering at University of Nevada--Reno has a rolling application deadline. The application fee is $60 for U.S. residents and $95 for international students. Its tuition is full-time: $11,700 per year (in-state); full-time: $27,790 per year (out-of-state); part-time: $9,070 per year (in-state); and part-time: $12,856 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering at University of Nevada--Reno has 87 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 95.00,(775) 784-6869,gradadmissions@unr.edu,http://www.unr.edu/grad/admissions/,http://www.unr.edu/grad,2.2:1,87,2.2:1,13.7,86.3,,,,
University of Maine,131," Orono, ME","The College of Engineering at University of Maine has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $541 per credit (in-state); full-time: $1,623 per credit (out-of-state); part-time: $541 per credit (in-state); and part-time: $1,623 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.1:1. The College of Engineering at University of Maine has 69 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(207) 581-3291,graduate@maine.edu,https://umaine.edu/graduate/apply/,http://www.engineering.umaine.edu/,1.1:1,69,1.1:1,35.3,63.3,,,,
University of Louisville (Speed),131," Louisville, KY","The J. B. Speed School of Engineering at University of Louisville (Speed) has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $13,524 per year (in-state); full-time: $27,638 per year (out-of-state); part-time: $752 per credit (in-state); and part-time: $1,536 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.7:1. The J. B. Speed School of Engineering at University of Louisville (Speed) has 90 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(502) 852-6278,spdgrad@louisville.edu,http://louisville.edu/graduate/apply,https://engineering.louisville.edu,1.7:1,90,1.7:1,27.3,72.7,,,,
San Diego State University,131," San Diego, CA","The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $7,176 per year (in-state); full-time: $9,504 per year (out-of-state); part-time: $4,164 per year (in-state); and part-time: $4,752 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.9:1. The engineering school at San Diego State University has 71 full-time faculty on staff.",,03/01,12/15,$ 70.00,$ 70.00,(619) 594-6336,admissions@sdsu.edu,https://www2.calstate.edu/apply,//www.sdsu.edu,N/A,71,0.9:1,34.9,65.1,N/A,,,
Indiana University-Purdue University--Indianapolis,131," Indianapolis, IN","The School of Engineering and Technology at Indiana University-Purdue University--Indianapolis has a rolling application deadline. The application fee is $70 for U.S. residents and $70 for international students. Its tuition is full-time: $426 per credit (in-state); full-time: $1,300 per credit (out-of-state); part-time: $426 per credit (in-state); and part-time: $1,300 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The School of Engineering and Technology at Indiana University-Purdue University--Indianapolis has 63 full-time faculty on staff.",,07/01,01/02,$ 70.00,$ 70.00,(317) 278-4961,wvlim@iupui.edu,https://et.iupui.edu/prospective/graduate/admissions/,https://et.iupui.edu/,0.7:1,63,0.7:1,32.5,67.5,,,,
Howard University,131," Washington, DC","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $33,084 per year and part-time: $1,838 per credit. The 2021 Ph.D. student-faculty ratio is 1.2:1. The College of Engineering and Architecture at Howard University has 48 full-time faculty on staff.",,01/15,01/15,$ 75.00,$ 75.00,(202) 806-2702,hugsadmissions@howard.edu,https://gs.howard.edu/admissions,https://gs.howard.edu/,"$2,812 per credit",48,1.2:1,45.5,54.5,"$33,084 per year","$1,838 per credit","$39,484 per year","$2,812 per credit"
Boise State University,131," Boise, ID","The College of Engineering at Boise State University has a rolling application deadline. The application fee is $65 for U.S. residents and $95 for international students. Its tuition is full-time: $7,110 per year (in-state); full-time: $16,920 per year (out-of-state); part-time: $354 per credit (in-state); and part-time: $711 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.9:1. The College of Engineering at Boise State University has 70 full-time faculty on staff.",,01/15,01/15,$ 65.00,$ 95.00,(208) 426-4723,graduatecollege@boisestate.edu,https://www.boisestate.edu/graduatecollege/howtoapply/,https://admissions.boisestate.edu/apply/,1.9:1,70,1.9:1,38.5,60,,,,
SUNY Polytechnic Institute,140," Albany, NY",The College of Nanoscale Science & Engineering at SUNY Polytechnic Institute has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $471 per credit (in-state); full-time: $963 per credit (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The College of Nanoscale Science & Engineering at SUNY Polytechnic Institute has 24 full-time faculty on staff.,,07/01,07/01,$ 60.00,$ 60.00,(315) 792-7347,graduate@sunypoly.edu,//www.sunypoly.edu/online-graduate-application.html,//www.sunypoly.edu/admissions/graduate.html,1.6:1,24,1.6:1,40,60,,,,
Santa Clara University,140," Santa Clara, CA","The School of Engineering at Santa Clara University has a rolling application deadline. The application fee is $90 for U.S. residents and $90 for international students. Its tuition is full-time: $1,088 per credit and part-time: $1,088 per credit. The 2021 Ph.D. student-faculty ratio is 0.5:1. The School of Engineering at Santa Clara University has 49 full-time faculty on staff.",,06/07,06/07,$ 90.00,$ 90.00,(408) 554-4313,gradengineer@scu.edu,https://slate.scu.edu/apply/,http://www.scu.edu/engineering/graduate,"$1,088 per credit",49,0.5:1,32.9,67.1,"$1,088 per credit","$1,088 per credit","$1,088 per credit","$1,088 per credit"
New Mexico State University,140," Las Cruces, NM","The College of Engineering at New Mexico State University has a rolling application deadline. The application fee is $40 for U.S. residents and $50 for international students. Its tuition is full-time: $4,981 per year (in-state); full-time: $17,330 per year (out-of-state); part-time: $277 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2:1. The College of Engineering at New Mexico State University has 68 full-time faculty on staff.",,N/A,N/A,$ 40.00,$ 50.00,(575) 646-3121,admissions@nmsu.edu,https://apply.nmsu.edu/apply/,https://engr.nmsu.edu/,2:1,68,2:1,33.6,66.4,,,,
Montana State University,140," Bozeman, MT","The College of Engineering at Montana State University has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $283 per credit (in-state) and full-time: $1,136 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The College of Engineering at Montana State University has 76 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 60.00,(406) 994-4145,gradschool@montana.edu,https://www.applyweb.com/msug/index.ftl,http://www.montana.edu/gradschool/,N/A,76,1.6:1,29.5,69.7,N/A,N/A,,
